portfolio,website,year,summary
LabFellows,https://www.labfellows.com/,,The integrated lab management platform that automates the compliance logistics and procurement needs of life science companies - SF Cohort 6 
LeadCrunch,https://www.leadcrunch.com/,,Automatically generate lookalike leads lists with machine learning - SF 
Legal Inc,https://legalinc.com/,,Legal automation for law firms and tax professionals as a service - SF 
Lightning AI,https://lightningai.com/,,The AI platform  that automatically finds your target audience and advertises to them on Facebook Instagram and Google AdWords - SF Cohort 7 
LimeLight Platform,https://limelightplatform.com/,,Leading live marketing automation platform - SF Cohort 2 
Measurance,http://www.measurence.com/,,Intelligence and analytics platform for the offline world - SF Cohort 2 
MetaLayer,http://www.metalayer.com/,,Interactive data visualizations allow your leads customers employees and executives to leverage data critical to their decision making (Acquired by D8A Group) - DC Cohort 2 
MobilePhire,http://www.mobilephire.com/,,MobilePhire integrates directly with cellular networks giving companies unprecedented transparency & control over cellular data usage across their employee base (acquired by MobilSense) - SF Cohort 4 
Nova AI,http://www.nova.ai/,,Data science driven platform for personalizing outbound outreach at scale - SF Cohort 2 
On Second Thought,https://www.onsecondthought.co/,,OST’s patented technology lets users take back mobile messages actions or transactions before they get to the recipient - SF Cohort 6 
onTarget,http://ontargetcloud.com/,,onTarget is a visual analytics solution for the construction industry - SF Cohort 5 
Pacify,https://pacify.com/,,24/7 expert help for new parents as a service - DC 
PactSafe,https://www.pactsafe.com/,,The legal signature acceleration platform - SF Cohort 3 
Paddle,http://www.paddlehr.com/,,The career pathing solution enabling enterprises to attract & retain top talent - SF Cohort 7 
PocketSuite,http://pocketsuite.io/,,Mobile app for independent service providers to fully manage their business - SF Cohort 1 
Pulse,https://www.pulse.qa/,,CIO feedback as a service - SF 
Rainmakers,https://www.rainmakers.co/,,The career marketplace for salespeople - SF Cohort 7 
RankPeek,https://www.rankpeek.com/,,Monitor analyze and respond to your product reviews across 30+ major online retailers - SF Cohort 2 
Reesio,https://www.reesio.com/,,All in one platform for residential real estate brokers (Acquired by Move.com) - SF Cohort 3 
ResolutionTube,http://www.resolutiontube.com/,,Provides field service technicians with cutting-edge AR tools for collaboration and troubleshooting - DC Cohort 3 
Riskopy,http://www.riskopy.com/,,Riskopy is a cashflow optimisation platform - enabling businesses to collect quicker and pay on better terms (Acquired by Coupa) - SF Cohort 5 
Rollio,https://www.gorollio.com/,,Virtual AI Assistant for CRM data entry - DC 
ScoutSwarm,https://groupsense.io/,,Open Source Intelligence platform that helps businesses to understand relevant network security threats (acquired by GroupSense) - DC 
Senseware,https://www.senseware.co/,,Full-stack IoT platform to integrate monitor and control building systems in real-time - DC 
SherpaDesk,http://www.sherpadesk.com/,,Help desk time tracking and invoicing for professional service firms - SF Cohort 2 
Skycision,https://www.skycision.com/,,Image-based crop management software solution to the global agriculture industry - SF Cohort 4 
Sprout,http://www.sprout.ph/,,Sprout is a payroll and HR software provider focusing on emerging markets - SF Cohort 5 
StayNTouch,http://stayntouch.com/,,Smart intuitive and engaging hotel management tools to empower your business connect your guests and increase your bottom line. - DC Cohort 2 
TalentIQ,https://www.talentiq.co/,,People Intelligence for the Enterprise - SF Cohort 3 
TrackMaven,http://trackmaven.com/,,Competitive corporate intelligence for marketers - DC Cohort 2 
Unique.ai,http://www.unique.ai/,,AI for blue collar recruitment - SF Cohort 6 
VendorTerm,https://www.vendorterm.com/,,Marketplace for connecting vendors with hedge funds and family offices to get paid sooner from outstanding invoices - SF Cohort 7 
WorkAmerica,http://www.workamerica.co/,,Hiring platform for credentialed labor - DC Cohort 3 
ZenPurchase,https://www.coupa.com/newsworthy/press-releases/zenpurchase.php,,Next generation procurement software (Acquired by Coupa) - SF Cohort 1 
Zube,https://zube.io/,,The project management platform for agile development teams boasting the world’s best integration with Github - SF Cohort 6 
