portfolio,website,year,summary
FRUTTAWEB,https://www.fruttaweb.com/it/,,FruttaWeb is an e-commerce that allow people to order online among more than 1.500 fresh fruits and receive them directly at their doorstep.
FUNBRUSH,,,Developing good habits influence our whole life Building good habits is difficult both for kids and adults. One of the first important and positive habits is brushing teeth because of that we believe that by teaching how to brush teeth we are going to influence future habit development.
HARMONIA,https://harmonia.si/,,Harmonia helps you Find and Book massages and beauty treatments online.
HIREHUNT,http://hirehunt.io/,,Hirehunt is an ultimate hub for hiring top talents.
Holoroad,https://holoroad.eu/,,Holoroad has developed a way to help those with some sight to be able to recognize the shapes and objects around them using a standard phone and proprietary algorithm.
HOMEY,https://www.homeyapp.net/,,A mobile app for families that takes chores to another level - with snapshots!
HOTAILOR,https://hotailor.com/#/,,Tailored hotels for business travelers. We helps business travelers keep focused and effective on their business with service that can save their time and money.
IDENTIKS,https://www.identiks.si/en,, Card and RFID solutions provider developing innovative solutions for card identification systems RFID solutions event management & loyalty solutions.
IQID,,,Making P2P Transactions Better. IQID is your Digital Business Card that you share with others to build trust and transparency with others.
Izaberi fax,,,Izaberifax.com is a system that is modernizing the application process for the universities in the Southeast Europe.
Jezikovna Agencija,,,Taia has developed a system for lifecycle management of a translation.
KOOLA,http://koola.io/,,Koola is connected Car CRM for dealerships' service centers and garages.
Kraftpal,https://www.kraftpal.com/,,KraftPal Technologies offer superior packaging & shipping alternatives to wood composite plastic and all other solutions currently on the market.
KRIP.TO,,,Kripto are cutting edge trading & arbitrage tools. With this platform you can automate your trading portfolio and focus on analyzing the market.
Langroo,http://www.langroo.com/,,Langroo transforms native US & UK conversational skills through a chatbot personality on Facebook Messenger.
Lucky One,https://www.lucky3in1.com/?lang=sl,,There is a segment of parents that like wood like quality and want a toy to be multifunc-tional. It is a movement created by people that want sustainable products.
Marketcloud,https://www.marketcloud.it/ ,,Marketcloud is a mobile first eCommerce backend made for developers.
Melon&Lime,https://melonandlime.com/,,Smart yoga mat with system to help reduce stress and anxiety through meditation.
MESSENGER,http://www.justmessenger.net,,Messenger is a mobile app which allows you to communicate with your friends and encourages you to meet other people and expand your social circle.
MOGY,https://mogy.me/,,Mogy is a specialized B2B SaaS app solution for personal trainers and their athlete clients.
Moneyrebel,https://moneyrebel.io/,,Moneyrebel empowers people with knowledge and tools to successfully deal with money.
MOVEO,http://moveoactivate.com/,,Moveo is using technology to motivate kids for physical activity through fun play.
NERVteh,https://www.nerv-teh.com/,,NERVteh Zetadrive is an advanced 4DOF motion driving simulator delivering a real life experience for multiple applications.
Octopull,https://getoctopull.com/en,,Octopull created a chat-project management platform that enables quick task assignments connection of IOT sensors and drones. This is especially interesting for quick response and dynamic teams.
PAPERLEAP,http://www.paperleap.com/pages/en/home,,Paperleap aims at empowering research by increasing equality in academic publishing and providing researchers with more opportunities for publishing high quality work.
PEEP,https://peep.im/,,Peep: The easiest way on the planet to host pay-per-view live video broadcasts.
Pinlab,https://controlplus.io/  ,,
PointMe,,,PointMe converts a word to mouth marketing into a digital form on social networks.
QUEBEME,,,QubeMe is Industry–specific pre-build Conversations powering Virtual Assistants and Intelligent Bots across Web Mobile and Messaging.
Second Coach,http://www.second-coach.com/ ,,Second Coach is a gamification based application for motivating children on soccer training.
Semaforum,https://www.semaforum.si/,,Semaforum has created a social network where you find those that like an activity and join them in the real world.
Sleepy bottle,http://www.sleepybottle.com/,,SleepyBottle created a bottle where baby milk formula is prepared in 2 seconds. The bottle is USB powered and also handy for traveling.
SmartCity,https://www.en.smartiscity.eu/,,The SmartCityPlatform connects all the core elements of a successfully managed city.
SMARTFUTURISTIC,https://smartfuturistic.com/,,We help you turn your loss into profit. A smart online tool for sale acceleration of overstocked goods with short expiry date and services.
SnapGuest,https://www.snapguest.pro/,,Snapguest has developed an app that scans personal documents and sends the data to Authorities
Solopex,http://www.solopex.com/,,Solopex optimization solutions save industrial clients time money and management headaches.
Sophico,https://sophico.org/,,Sophico is a web and mobile fully sport oriented application that allows coaches to be coaches and worry less about administrative work.
SOPLAYA,https://www.soplaya.com/,,The first marketplace where chefs buy from local farmers. We close the gap between fields and dinner plates by cutting out the middle-man and giving back the power to the farmer.
Sportly,,,Sportly is an app that helps fitness professionals focus on what they do best freeing them from a constant burden of planning & budgeting.
SpotBe,,,
StormBorn,http://www.stormbornstudio.com/,,Stormborn created a technology for moving in VR that does not cause discomfort or problems for the human brain.
Styliff,https://styliff.com/,,Styliff is a virtual dressing app that allows you to try clothes on your virtual self in a matter of seconds.
Symvaro,http://www.symvaro.com/,,Symvaro is developing Smart City solutions with the focus on water & waste management.
Tomappo,https://tomappo.com/,,Tomappo is a web and mobile application that helps people grow their own vegetables.
TravelStarter,http://www.travelstarter.com/,,TravelStarter makes it possible for anyone to share their story with travelers from across the globe and raise money for their project.
TRIPMAGIC,https://tripmagic.xyz/,,TripMagic gives you as a tourist a single place to manage and organize your day based on your Budget and Mood in the Go.
VENXLY,,,Venxly provides ads people love. Is the one sentencer. We give them suggestions to points of interest (through their own personality location and time) give them discounts and pay them to view them.
Viberate,https://www.viberate.com/,,Viberate.com is the world’s fastest growing crowdsourced platform for listing and mapping the live music industry.
Videobolt ,https://videobolt.net/,,Videobolt created an easy to use online video creation platform where customers use predefined templates and change them through an easy UI.
VIOLANTO,http://violanto.com/,,Violanto builds artificial intelligence for eCommerce. 97.7% of shoppers leave sites without buying  the only effective way to increase low conversion is to give control to AI technology
VisMedic,,,VisMedic provides online video sessions with top physicians from best health care institutions.
Visualazer,,,A video sharing platform where video creators increase revenue and community can invest in them for an ROI.
Vyoocam,https://vyoocam.com/,,Vyoocam is world’s smallest and easiest to use wearable camera for live video streaming over the Internet you can easily attach to any glasses you already have.
Walmoo,https://www.walmoo.com/,,
WESHARE,,,Weshare is going to give power to Individuals to create or share anything based on peer to peer by their unique profile.
XPRESS JOB,,,We are an international recruiting platform interactively connecting candidates and recruiters. Create your profile and get connected!
